Sl. No.,District Code,District Name,District Name (Tamil),Block Code,Block Name,Block Name (Tamil),Village Panchayat Code,Village Panchayat Name,Village Panchayat Name (Tamil)
1,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,Angambakkam,அங்கம்பாக்கம்
2,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,Ariyaperumpak,ஆரியபெரும்பாக்கம்
3,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,Arpaakkam,ஆற்பாக்கம்
4,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,Asoor,ஆசூர்
5,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",5,Avalur,அவளூர்
6,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",6,Ayyangarkulam,அய்யங்கார்குளம்
7,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",7,Damal,தாமல்
8,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",8,Elayanarvelur,இளையனார்வேலூர்
9,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",9,Kalakattoor,களக்காட்டூர்
10,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",10,Kalur,காலூர்
11,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",11,Kambarajapuram,கம்பராஜபுரம்
12,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",12,Karuppadithattadai,கருப்படிதட்டடை
13,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",13,Kavanthandalam,காவாந்தண்டலம்
14,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",14,Keelambi,கீழம்பி
15,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",15,Kilar,கிளார்
16,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",16,Keelkadirpur,கீழ்கதிர்பூர்
17,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",17,Keelperamanallur,கீழ்பேரமநல்லூர்
18,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",18,Kolivakkam,கோளிவாக்கம்
19,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",19,Konerikuppam,கோனேரிக்குப்பம்
20,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",20,Kooram,கூரம்
21,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",21,Magaral,மாகரல்
22,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",22,Melkadirpur,மேல்கதிர்பூர்
23,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",23,Melottivakkam,மேல்லொட்டிவாக்கம்
24,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",24,Musaravakkam,முசரவாக்கம்
25,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",25,Muthavedu,முத்தவேடு
26,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",26,Muttavakkam,முட்டவாக்கம்
27,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",27,Narapakkam,நரப்பாக்கம்
28,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",29,Olakkolpattu,உழகோல்பட்டு
29,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",31,Perumbakkam,பெரும்பாக்கம்
30,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",32,Punjarasanthangal,புஞ்சரசந்தாங்கல்
31,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",33,Putheri,புத்தேரி
32,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",34,Sirukaveripakkam,சிறுகாவேரிபாக்கம்
33,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",35,Sirunaiperugal,சிறுணை பெருகல்
34,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",36,Thammanur,தம்மனூர்
35,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",38,Thimmasamudram,திம்ம சமுத்திரம்
36,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",39,Thiruparuthikundram,திருப்பருத்திக்குன்றம்
37,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",40,Thiruppukuzhi,திருப்புட்குழி
38,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",41,Valathottam,வளத்தோட்டம்
39,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",42,Vippedu,விப்பேடு
40,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",43,Vishar,விஷார்
41,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",1,Agaram,அகரம்
42,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",2,Alapakkam,ஆலப்பாக்கம்
43,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",3,Ariyambakkam,ஆரியம்பாக்கம்
44,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",4,Athivakkam,அத்திவாக்கம்
45,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",5,Attuputhur,ஆட்டுபுத்தூர்
46,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",6,Aymicheri,அயிமிச்சேரி
47,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",7,Ayyampettai,அய்யம்பேட்டை
48,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",8,Devariyambakkam,தேவிரியம்பாக்கம்
49,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",9,Ekanampettai,ஏகனாம்பேட்டை
50,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",10,Enadur,ஏனாத்தூர்
